PassengerId,Survived,Pclass,Name,Sex,Age,Cabin,Cabin location,Can swim,Survival Probability,Survive
892,0,3,"Kelly, Mr. James",male,34.5,A95,Lower,0,0.4,0
1047,0,3,"Duquemin, Mr. Joseph",male,24.0,B56,Lower,1,0.7,0
906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,E31,Upper,0,0.9,1
1020,0,2,"Bowenur, Mr. Solomon",male,42.0,E58,Middle,0,0.7000000000000001,0
1043,0,3,"Matinoff, Mr. Nicola",male,74.0,C49,Lower,0,0.15000000000000005,0
1015,0,3,"Carver, Mr. Alfred John",male,28.0,B78,Lower,0,0.4,0
1098,1,3,"McGowan, Miss. Katherine",female,35.0,E63,Lower,1,0.7,0
1155,1,3,"Klasen, Miss. Gertrud Emilia",female,1.0,A66,Middle,0,0.45000000000000007,0
1278,0,3,"Aronsson, Mr. Ernst Axel Algot",male,24.0,C22,Middle,1,0.9999999999999999,1
904,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23.0,B45,Lower,0,0.4,0
1218,1,2,"Becker, Miss. Ruth Elizabeth",female,12.0,F4,Middle,0,0.7000000000000001,0
1228,0,2,"de Brito, Mr. Jose Joaquim",male,32.0,A2,Lower,0,0.4,0
940,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,D15,Upper,1,1.2000000000000002,1
1246,1,3,"Dean, Miss. Elizabeth Gladys Millvina""""",female,0.17,B64,Middle,0,0.45000000000000007,0
909,0,3,"Assaf, Mr. Gerios",male,21.0,B31,Lower,1,0.7,0
945,1,1,"Fortune, Miss. Ethel Flora",female,28.0,C23,Lower,1,0.7,0
1115,0,3,"Karlsson, Mr. Einar Gervasius",male,21.0,D11,Upper,0,0.9,1
1057,1,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,D1,Middle,0,0.7000000000000001,0
1109,0,1,"Wick, Mr. George Dennick",male,57.0,E78,Upper,0,0.9,1
1265,0,2,"Harbeck, Mr. William H",male,44.0,D47,Lower,0,0.4,0
1147,0,3,"MacKay, Mr. George William",male,33.0,D11,Upper,0,0.9,1
1076,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,B58,Middle,1,0.9999999999999999,1
980,1,3,"O'Donoghue, Ms. Bridget",female,51.0,A80,Upper,0,0.9,1
982,1,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female,22.0,B66,Upper,0,0.9,1
923,0,2,"Jefferys, Mr. Clifford Thomas",male,24.0,E66,Upper,1,1.2000000000000002,1
1279,0,2,"Ashby, Mr. John",male,57.0,C23,Upper,1,1.2000000000000002,1
1188,1,2,"Laroche, Miss. Louise",female,1.0,C62,Lower,0,0.15000000000000005,0
1285,0,2,"Gilbert, Mr. William",male,47.0,E10,Middle,1,0.9999999999999999,1
1263,1,1,"Wilson, Miss. Helen Alice",female,31.0,E39,Middle,0,0.7000000000000001,0
1068,1,2,"Sincock, Miss. Maude",female,20.0,B80,Lower,0,0.4,0
990,1,3,"Braf, Miss. Elin Ester Maria",female,20.0,B100,Upper,0,0.9,1
1106,1,3,"Andersson, Miss. Ida Augusta Margareta",female,38.0,E37,Upper,0,0.9,1
1167,1,2,"Bryhl, Miss. Dagmar Jenny Ingeborg ",female,20.0,E35,Lower,1,0.7,0
1117,1,3,"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",female,72.0,D10,Upper,0,0.65,0
1183,1,3,"Daly, Miss. Margaret Marcella Maggie""""",female,30.0,B74,Middle,1,0.9999999999999999,1
1143,0,3,"Abrahamsson, Mr. Abraham August Johannes",male,20.0,B92,Upper,0,0.9,1
957,1,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,35.0,C93,Middle,1,0.9999999999999999,1
961,1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,C23,Upper,0,0.9,1
1275,1,3,"McNamee, Mrs. Neal (Eileen O'Leary)",female,19.0,E12,Middle,0,0.7000000000000001,0
916,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48.0,B57,Lower,0,0.4,0
1030,1,3,"Drapkin, Miss. Jennie",female,23.0,D100,Upper,1,1.2000000000000002,1
1302,1,3,"Naughton, Miss. Hannah",female,46.0,C61,Upper,1,1.2000000000000002,1
1107,0,1,"Head, Mr. Christopher",male,42.0,B11,Lower,0,0.4,0
958,1,3,"Burns, Miss. Mary Delia",female,18.0,E11,Upper,0,0.9,1
1082,0,2,"Angle, Mr. William A",male,34.0,C79,Middle,0,0.7000000000000001,0
1084,0,3,"van Billiard, Master. Walter John",male,11.5,A64,Lower,0,0.4,0
969,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,C101,Lower,0,0.4,0
1080,1,3,"Sage, Miss. Ada",female,15.0,C36,Middle,1,0.9999999999999999,1
1045,1,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36.0,E54,Upper,1,1.2000000000000002,1
981,0,2,"Wells, Master. Ralph Lester",male,2.0,D3,Middle,0,0.45000000000000007,0
1153,0,3,"Nilsson, Mr. August Ferdinand",male,21.0,E33,Lower,1,0.7,0
895,0,3,"Wirz, Mr. Albert",male,27.0,E83,Lower,1,0.7,0
1179,0,1,"Snyder, Mr. John Pillsbury",male,24.0,B45,Middle,0,0.7000000000000001,0
1025,0,3,"Thomas, Mr. Charles P",male,23.0,E12,Middle,0,0.7000000000000001,0
1203,0,3,"Vartanian, Mr. David",male,22.0,B22,Middle,0,0.7000000000000001,0
